そうほうさい	雙峰祭	名詞
がくじつい	学実委	名詞
じつい	実委	名詞
じっけい	実計	名詞
じついじん	実委人	名詞
じっけい	実行計画書	短縮よみ
ほんき	本企	名詞
すてかん	ステ管	名詞
こうせん	広宣	名詞
やさい	夜祭	接頭語
やさい	夜祭	名詞
きだんれん	企団連	名詞
ぷれそう	プレ雙	名詞
あうちょう	あう⻑	名詞
えすおーえす	SOS	名詞
おれんぢ	オレンヂ	名詞
がくぶんきん	学分金	名詞
きかちゅう	きかちゅう	名詞
きょくみ	局ミ	名詞
げいさい	芸祭	名詞
しふたん	シフ担	名詞
ぜんだいかい	全代会	名詞
だん	団	名詞
ないき	内規	名詞
ぶかい	部会	名詞
ぶったん	物担	名詞
ぷれそう	プレ雙	名詞
ほさ	補佐	名詞
ゆに	UNI	名詞
ないぎょう	内⾏	名詞
ねぶもん	ネ部門	名詞
